exp	backbone	backbone_config	max_instances	sampling	epochs	best_metric	dataset_csv	parse_ok	yaml	best_log	best_epoch	val_c_index	test_c_index
TCGA_KIRC_R50_PFS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-48_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-02-48_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	3	0.6919291338582677	0.6115459882583171
TCGA_KIRC_R50_PFS	AB_MIL	configs/AB_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	4	0.6820866141732284	0.6252446183953033
TCGA_KIRC_R50_PFS	MAX_MIL	configs/MAX_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_R50_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_R50_PFS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_R50_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_R50_PFS_SURVIVAL_MIL.csv	2	0.5334645669291339	0.5391389432485323
TCGA_KIRC_UNI_OS	RRT_MIL	configs/RRT_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-30_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-30_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	8	0.7736013986013986	0.7759456838021338
TCGA_KIRC_UNI_OS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-46_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-46_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	5	0.7368881118881119	0.7866149369544132
TCGA_KIRC_UNI_OS	MIR_MIL	configs/MIR_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-08_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-02-08_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	6	0.7281468531468531	0.7807953443258971
TCGA_KIRC_UNI_OS	MAX_MIL	configs/MAX_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-32_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	2	0.7263986013986014	0.7187196896217265
TCGA_KIRC_UNI_OS	AB_MIL	configs/AB_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-00_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	6	0.7062937062937062	0.7759456838021338
TCGA_KIRC_UNI_OS	MEAN_MIL	configs/MEAN_MIL.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_OS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-19_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_OS/SURVIVAL_MIL/time_2026-07-16-03-19_TCGA_KIRC_UNI_OS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_OS_SURVIVAL_MIL.csv	4	0.6722027972027972	0.7478176527643065
TCGA_KIRC_UNI_PFS	MIR_MIL	configs/releases/MIR_MIL_MT_V1.yaml	4096	random	30	c_index	/data15/data15_5/fanhao/datasets/TCGA-RCC/metadata/TCGA-KIRC-PROGNOSIS/TCGA_KIRC_PROGNOSIS_UNI_PFS_split.csv	True	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-02-47_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/SURVIVAL_MIL.yaml	/data15/data15_5/fanhao/experiments/MIRMIL_PROGNOSIS/TCGA_KIRC_UNI_PFS/SURVIVAL_MIL/time_2026-07-16-02-47_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL_seed_2024/Best_Log_seed2024_TCGA_KIRC_UNI_PFS_SURVIVAL_MIL.csv	5	0.7549212598425197	0.7837573385518591
